,Step,Model Term,Number of Terms,Log-Likelihood,Model Degree of Freedom,Akaike Information Criterion,Bayesian Information Criterion,Sample Size,Accuracy of TestData,RMSE of TestData
42,42,"['f_primary_age_tier', 'f_fire_alarm_type', 'f_aoi_tier']",3,-20335.882062782668,33,40737.764125565336,40999.445543046786,20532,0.008308265291505515,1.7625885042203853
43,43,"['f_primary_age_tier', 'f_mile_fire_station', 'f_aoi_tier']",3,-20332.748642032933,36,40737.49728406587,41022.967921318355,20532,0.006875805758487323,1.7698877102246298
44,44,"['f_primary_gender', 'f_marital', 'f_residence_location']",3,-20844.166442709942,18,41724.332885419884,41867.068204046125,20532,0.0,1.7851991398885656
45,45,"['f_primary_gender', 'f_marital', 'f_fire_alarm_type']",3,-20761.57063350896,18,41559.14126701792,41701.87658564416,20532,0.0,1.7851991398885656
46,46,"['f_primary_gender', 'f_marital', 'f_mile_fire_station']",3,-20754.554749348183,21,41551.109498696365,41717.63403709365,20532,0.0,1.7851991398885656
47,47,"['f_primary_gender', 'f_marital', 'f_aoi_tier']",3,-20773.892965489427,24,41595.785930978855,41786.09968914718,20532,0.0,1.7851991398885656
48,48,"['f_primary_gender', 'f_residence_location', 'f_fire_alarm_type']",3,-20753.00119204449,18,41542.00238408898,41684.73770271522,20532,0.0,1.7851991398885656
49,49,"['f_primary_gender', 'f_residence_location', 'f_mile_fire_station']",3,-20734.808195634574,21,41511.61639126915,41678.140929666435,20532,0.0,1.7851991398885656
50,50,"['f_primary_gender', 'f_residence_location', 'f_aoi_tier']",3,-20764.25275367241,24,41576.50550734482,41766.81926551314,20532,0.0,1.7851991398885656
51,51,"['f_primary_gender', 'f_fire_alarm_type', 'f_mile_fire_station']",3,-20661.60446613194,21,41365.20893226388,41531.733470661165,20532,0.0,1.7851991398885656
52,52,"['f_primary_gender', 'f_fire_alarm_type', 'f_aoi_tier']",3,-20680.624867403523,24,41409.24973480705,41599.56349297537,20532,0.0,1.7851991398885656
53,53,"['f_primary_gender', 'f_mile_fire_station', 'f_aoi_tier']",3,-20673.470001095866,27,41400.94000219173,41615.0429801311,20532,0.00028649190660363845,1.783834523336347
54,54,"['f_marital', 'f_residence_location', 'f_fire_alarm_type']",3,-20753.265357310946,21,41548.53071462189,41715.05525301918,20532,0.0,1.7851991398885656
55,55,"['f_marital', 'f_residence_location', 'f_mile_fire_station']",3,-20735.380825726847,24,41518.76165145369,41709.07540962202,20532,0.0,1.7851991398885656
56,56,"['f_marital', 'f_residence_location', 'f_aoi_tier']",3,-20764.400673621938,27,41582.801347243876,41796.90432518324,20532,0.0,1.7851991398885656
57,57,"['f_marital', 'f_fire_alarm_type', 'f_mile_fire_station']",3,-20662.145500963794,24,41372.29100192759,41562.604760095914,20532,0.0,1.7851991398885656
58,58,"['f_marital', 'f_fire_alarm_type', 'f_aoi_tier']",3,-20680.823172962788,27,41415.646345925576,41629.74932386494,20532,0.0004297378599054577,1.783834523336347
